"Time","Message","Severity"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\QMAY-9799-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3927.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\QMAY-9801-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3929.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\QMAY-9801-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3929.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\QMAY-9803-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3936.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\QMAY-9803-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3936.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\QMAY-9851-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3928.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\QMAY-9851-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3928.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\RADIOCSG-8AJ.mp3 >> C:\Users\Music Director\Documents\testspots\3931.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\RADIOCSG-8AJ.mp3 >> C:\Users\Music Director\Documents\testspots\3931.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\RADIOCSG-9AJ.mp3 >> C:\Users\Music Director\Documents\testspots\3937.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\RADIOCSG-9AJ.mp3 >> C:\Users\Music Director\Documents\testspots\3937.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\RADIOCSG-AAJ.mp3 >> C:\Users\Music Director\Documents\testspots\3934.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\RADIOCSG-AAJ.mp3 >> C:\Users\Music Director\Documents\testspots\3934.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\RADIOCSG-BAJ.mp3 >> C:\Users\Music Director\Documents\testspots\3938.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\RADIOCSG-BAJ.mp3 >> C:\Users\Music Director\Documents\testspots\3938.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.10.18 - revision 1 for KDKD-FM only\FPDV-3641-000.mp3 >> C:\Users\Music Director\Documents\testspots\3925.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-FM only\FPDV-3641-000.mp3 >> C:\Users\Music Director\Documents\testspots\3925.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.10.18 - revision 1 for KDKD-FM only\FPDV-3641-000.mp3 >> C:\Users\Music Director\Documents\testspots\3925.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-FM only\FPDV-3641-000.mp3 >> C:\Users\Music Director\Documents\testspots\3925.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 - revision 1 for KDKD-FM only\FPDV-3659-000.mp3 >> C:\Users\Music Director\Documents\testspots\3946.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-FM only\FPDV-3659-000.mp3 >> C:\Users\Music Director\Documents\testspots\3946.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-FM only\OQAU-0547-000.mp3 >> C:\Users\Music Director\Documents\testspots\3945.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-FM only\QRPI-0170-000.mp3 >> C:\Users\Music Director\Documents\testspots\3944.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-FM only\QRPI-0216-000.mp3 >> C:\Users\Music Director\Documents\testspots\3947.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-FM only\QRPI-0222-000.mp3 >> C:\Users\Music Director\Documents\testspots\3939.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-FM only\YOWG-1580-000.mp3 >> C:\Users\Music Director\Documents\testspots\3940.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-FM only\YOWG-1608-000.mp3 >> C:\Users\Music Director\Documents\testspots\3941.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\EN-The Rooster 12.03.18 6 for KDKD-FM only\SPOT CTGFAR30A00.mp3 >> C:\Users\Music Director\Documents\testspots\3967.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\EN-The Rooster REVISED 12.10.18 7 for KDKD-FM only\SPOT CTGFAR30A00.mp3 >> C:\Users\Music Director\Documents\testspots\3967.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\EN-The Rooster 12.03.18 6 for KDKD-FM only\SPOT QRPI0222000.mp3 >> C:\Users\Music Director\Documents\testspots\3979.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.03.18 5 for KDKD-FM only\SPOT QRPI0222000.mp3 >> C:\Users\Music Director\Documents\testspots\3979.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.03.18 - revision 1 for KDKD-AM only\Spot QSRA8085000.MP3 >> C:\Users\Music Director\Documents\testspots\3964.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.03.18 - revision 2 for KDKD-AM only\Spot QSRA8085000.MP3 >> C:\Users\Music Director\Documents\testspots\3964.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.03.18 - revision 3 for KDKD-AM only\Spot QSRA8085000.MP3 >> C:\Users\Music Director\Documents\testspots\3964.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.17.18 9 - revision 1 for KDKD-AM only\SPOT QSRA8085000.mp3 >> C:\Users\Music Director\Documents\testspots\3964.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.17.18 9 for KDKD-AM only\SPOT QSRA8085000.mp3 >> C:\Users\Music Director\Documents\testspots\3964.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\EN-The Rooster 12.17.18 14 for KDKD-FM only\SPOT QDAF0019679.mp3 >> C:\Users\Music Director\Documents\testspots\3988.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 - revision 1 for KDKD-FM only\SPOT YKHT8163000.mp3 >> C:\Users\Music Director\Documents\testspots\3990.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 for KDKD-FM only\KOHLS WRAP UP HOLIDAY SHOPPING YKHT8163000.mp3 >> C:\Users\Music Director\Documents\testspots\3990.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\WU-The Daily Aardvark 12.17.18 1 for KDKD-AM only\SPOT YKHT8163000.mp3 >> C:\Users\Music Director\Documents\testspots\3990.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 - revision 1 for KDKD-FM only\SPOT YKHT8163000.mp3 >> C:\Users\Music Director\Documents\testspots\3991.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 for KDKD-FM only\KOHLS WRAP UP HOLIDAY SHOPPING YKHT8163000.mp3 >> C:\Users\Music Director\Documents\testspots\3991.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\WU-The Daily Aardvark 12.17.18 1 for KDKD-AM only\SPOT YKHT8163000.mp3 >> C:\Users\Music Director\Documents\testspots\3991.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.17.18 9 - revision 1 for KDKD-AM only\Spot EWCOR172930.MP3 >> C:\Users\Music Director\Documents\testspots\3963.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.17.18 9 for KDKD-AM only\Spot EWCOR172930.MP3 >> C:\Users\Music Director\Documents\testspots\3963.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.17.18 9 - revision 1 for KDKD-AM only\Spot EWCOR181730.MP3 >> C:\Users\Music Director\Documents\testspots\3965.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.17.18 9 for KDKD-AM only\Spot EWCOR181730.MP3 >> C:\Users\Music Director\Documents\testspots\3965.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.03.18 - revision 1 for KDKD-AM only\Spot QSRA8085000.MP3 >> C:\Users\Music Director\Documents\testspots\3964.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.03.18 - revision 2 for KDKD-AM only\Spot QSRA8085000.MP3 >> C:\Users\Music Director\Documents\testspots\3964.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.03.18 - revision 3 for KDKD-AM only\Spot QSRA8085000.MP3 >> C:\Users\Music Director\Documents\testspots\3964.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.17.18 9 - revision 1 for KDKD-AM only\SPOT QSRA8085000.mp3 >> C:\Users\Music Director\Documents\testspots\3964.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.17.18 9 for KDKD-AM only\SPOT QSRA8085000.mp3 >> C:\Users\Music Director\Documents\testspots\3964.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.17.18 9 - revision 1 for KDKD-AM only\BABBEL SMBA-TRY-WEB.mp3 >> C:\Users\Music Director\Documents\testspots\3966.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.17.18 9 for KDKD-AM only\BABBEL SMBA-TRY-WEB.mp3 >> C:\Users\Music Director\Documents\testspots\3966.wav","Information"
